맥주이름,Aroma,Appearance,Flavor,Mouthfeel,Overall,category,avb
Apple Fox,4.944249959509428,3.851826544434633,5.470110476158638,3.3063003890344165,10.986431263703444,Radler,4.5
Asahi Shokusai,5.127256301646143,3.2079154097158034,5.674603435969853,2.972764816675153,10.629550421646291,Lager,5.0
Asahi Super Dry,4.395156412525907,3.0249357295508768,4.906232152808732,2.771206761281964,9.772057705546093,Lager,5.0
Blue Girl (5.0%),3.349570819794907,2.5118006591074025,3.6966249601222154,2.247345078162741,7.049828595457481,Lager,5.0
Blue Moon Belgian White,5.872202377588936,3.4530196977764382,6.198958773287773,3.219971038037693,12.50037266569522,Wheat Beer,5.4
Boon Rawd Singha,4.571045660345722,3.016667937660713,5.064058583606333,2.829709769247708,10.063157871010318,Lager,5.0
Brooklyn Pilsner (4.6 %),6.117689458971089,3.5621110206953306,6.384565979702845,3.3253607700514554,13.001202394764457,Lager,4.6
Budvar Tmavý Ležák (Dark Lager),6.4396005061686035,3.910586391305285,6.873075694619678,3.4245024533674435,14.035586404081895,Dark Beer,4.7
Budweiser,3.755573892009595,2.6957884621714463,4.153394760088177,2.3935400084839262,8.089790629559172,Lager,5.0
Coopers Best Extra Stout,6.900122463323715,3.9921808928563896,7.268745882898598,3.6058692918764343,14.795561895487186,Dark Beer,6.3
Coopers Original Pale Ale,5.432043665491078,3.2544559865405143,5.847242405946038,3.081189933626401,11.776751115899902,Ale,4.5
Corona Extra,3.851355390885352,2.772019712939431,4.414163629139594,2.5052157674779583,8.669117676299997,Lager,4.5
Desperados,3.8728577701976183,2.805412450094696,4.074105156411877,2.372356087589095,7.731290832185699,Radler,5.9
Desperados Lime,4.120435173238378,2.821155910671582,4.30276599763927,2.538729437211664,8.775759789264153,Lager,3.0
Edelweiss Weissbier Hefetrüb,6.620186279450556,3.779782460183909,6.900830260853075,3.4437654160480347,14.00109312732339,Wheat Beer,5.3
Edelweiss Wheat,6.865102292636838,3.7314692716905378,7.098930909176392,3.47033354035184,15.163657042723406,Ale,5.0
Egger Trauben Radler,4.123903116617703,2.993934567326088,5.510003035345855,2.273473067284797,8.749169894598346,Radler,2.3
Erdinger Weissbier,6.042844741552306,3.755911441387883,6.5011492164115285,3.384254743539697,13.237816390489543,Wheat Beer,5.3
Goose Island 312 Urban Wheat Ale,5.534445599522115,3.3245780399635723,5.916354424019704,3.0891419572164045,11.990606593118612,Ale,4.2
Goose Island Goose IPA,6.899139254427585,3.7592368837340135,7.169255705381213,3.613225911364806,14.650447597855727,Ale,5.9
Guinness Draught,6.17462800683308,4.363379404409271,6.640221826597886,3.5057909862890746,13.793915217111616,Dark Beer,4.2
Guinness Nitro Cold Brew Coffee,7.50247815203311,4.261827541945565,7.304116357351975,3.52867366614168,14.868526415778316,Dark Beer,4.0
Heineken,4.409706038778214,3.031129339891186,4.968804810175709,2.760554701333693,9.902970288553323,Lager,5.0
Heineken Silver,4.501593495749521,3.109038238644726,4.771291211545971,2.6667600785695535,9.71815022340676,Lager,4.0
Hoegaarden,6.728857567839688,3.7866333782038786,7.075298385856444,3.565135714157295,14.448587981542747,Wheat Beer,4.9
Hoegaarden Apple,6.044125926913392,3.517208260293037,6.210912908401243,4.408962940024858,11.145004025120407,Radler,4.5
Hoegaarden Pear,4.705864998229142,2.36639954248532,4.221053169695511,2.2018717111801474,10.992884215064556,Wheat Beer,3.5
Hoegaarden Rosée,5.418513917187855,3.308096242425714,5.296943738631013,2.8757690350359195,10.665273642621376,Radler,3.0
Hop House 13 Lager (5%),5.6687287734308,3.454347555112091,6.093852746788188,3.1690102171874384,12.269889914909324,Lager,5.0
Karlsberg UrPils,5.232363529903456,3.3887201599703634,5.810460189532355,3.069737479824284,11.556034284670858,Lager,4.8
Kirin Ichiban First Press,5.069590977554611,3.6372608102512514,5.668065263487283,3.422843600001454,11.6723251043119,Lager,5.0
Kirin Ichiban Shibori Toushitsu Zero,3.271671514319329,3.3548485575981286,3.4453535084963036,1.6341488181251256,7.324106321932802,Lager,4.0
Kona Big Wave Golden Ale,6.111196884127702,3.4433232612464493,6.30856751418539,3.217493801852976,12.797778512110655,Ale,4.4
Kronenbourg 1664,4.679520976797356,3.143476821392004,5.135616437039801,2.82016776373281,10.2544625310232,Lager,5.5
Lagunitas DayTime,7.173910966787449,3.6447052352332814,7.187537866099278,3.472211478818512,14.744925478326426,Ale,4.0
Lagunitas IPA - 05256,6.4416830778601515,3.561260202587057,6.842007704722775,3.450382653162594,14.28688894699822,Ale,6.2
Miller Genuine Draft (MGD),3.741148257490031,2.790364375660985,4.203189889932916,2.4437477856278935,8.148849403438954,Lager,4.7
North Coast Old Rasputin Russian Imperial Stout,7.526501320425718,4.322421570470896,7.964086846236,4.011488108230318,16.264594274951836,Dark Beer,9.0
P Egger Radler Pfirsich,6.885473998141997,2.7652923893999484,6.489572317763842,3.282355712978688,12.51094329907974,Radler,2.1
Patagonia Bohemian Pilsener,4.947671632017884,3.216154870139725,5.523670681997155,2.9053089866399677,11.277496620240129,Lager,5.2
Paulaner Hefe-Weissbier,6.903699605489835,3.995817078925402,7.276048954024029,3.683930303186856,14.898566840637644,Wheat Beer,5.5
Paulaner Hefeweissbier Dunkel,6.785508570050292,3.923596593263442,7.153313668183648,3.6482401482655655,14.71247508732403,Wheat Beer,5.3
Paulaner Original Münchner Hell (Premium Lager),5.905905697720627,3.5179852144822914,6.494495343871144,3.375886191686517,13.060654153248947,Lager,4.9
Sapporo Nanamaru,2.724886675705199,3.2001203244513214,2.3894587140149817,3.1822426137312383,2.915664618190177,Lager,5.0
Sapporo Premium Beer / Draft Beer,4.57378216560039,3.069500473211429,5.084780771945743,2.8189275745790336,10.153040729544038,Lager,4.9
Sapporo The Winters Tale,4.58636026556719,2.9977408027344237,4.623740269698812,2.740790383926321,8.95783457615324,Lager,5.5
Sapporo Yebisu,5.055733752798471,3.2314163255066006,5.600384234108389,2.979852280285235,11.056896290818743,Lager,5.0
Somersby Apple Cider,4.970589931634669,2.8483749488685497,5.164630904929258,2.7345774004652035,10.034987002720028,Radler,4.5
Somersby Apple Sparkling Cider,5.683555863081508,3.329633372171186,5.541424564084892,3.293975122529808,12.107308307107116,Radler,4.5
Somersby Mango & Lime,5.290959149168646,3.1505179159459344,5.6752786345271105,2.9949431968562648,11.984430116517794,Radler,4.5
Stella Artois (5%),4.862585990993029,3.255445481861321,5.446567382485671,2.967624175690369,10.95665544236338,Lager,5.0
Suntory The Premium Malt's,5.315825503534604,3.2838044906331385,5.891606834187504,3.0949520243751403,11.628578058883576,Lager,5.5
Tiger Beer,4.378651115996533,2.9723194411617677,4.855580584888593,2.6850889642062796,9.6071345635048,Lager,5.0
Tiger Radler Grapefruit,5.807680624290414,2.5667986879123057,5.480429801785313,2.6182621652413625,10.766627062858657,Radler,2.0
Tiger Radler Lemon,4.555749466940546,2.847094066534642,4.7768029555486295,2.6506704390079303,8.708295140117334,Radler,2.0
Troll-Brew Hefe-Grapefruit,5.456693497735488,3.454121799256398,5.836526208707698,3.129984577871783,11.13439006338515,Radler,2.6
Troll-Brew Lemon Radler,4.930345211220229,3.309220637760744,5.180357018505001,2.972773089240903,10.859232869945284,Radler,2.4
Tsingtao,4.26310714451693,2.8307508486650317,4.749454966439493,2.664082056249914,9.327307767806872,Lager,5.0
Tsingtao 4.7% 11°P,4.215681326162404,2.816690394172761,4.67911311515259,2.6311447625409743,8.844554774239999,Lager,4.7
Tsingtao Draft Beer 11º (Pure Draft Beer),3.814894070235783,2.681547436635907,4.346097746800778,2.550772044202991,8.846596244785903,Lager,4.3
Volfas Engelman Hoppy Lager,6.333931092117634,3.6879145635701938,6.441149444936869,3.3994566112789903,13.195889961407437,Lager,5.5
Volfas Engelman Istorinis Nefiltruotas,5.5435169264051165,3.6666422277231785,6.106624037289137,3.1935670774868363,11.19585993481671,Lager,5.2
Volfas Engelman NEIPA,6.527328227475118,3.694635640312656,6.5861410990986,3.2558869644589676,13.49469149920848,Ale,5.0
Volfas Engelman Pasaulio Skoniai IPA,5.815194982649345,3.538743007491912,6.1149743161230905,3.337186231276625,12.572959001306888,Ale,6.0
Volfas Engelman Raspberry Porter,5.7984180124665645,3.4946163459766195,6.273935731175891,3.359457832524922,12.90665111369222,Dark Beer,7.5
